year,mgra_15,MoHub_carshare_flag,univ_flag,MLB_flag
2035,6129,1,0,0
2035,10674,1,0,0
2035,962,1,0,0
2035,3032,1,0,0
2035,288,1,0,0
2035,7456,1,0,0
2035,4176,1,0,0
2035,10673,1,0,0
2035,4175,1,0,0
2035,5495,1,0,0
2035,2794,1,0,0
2035,2241,1,0,0
2035,3667,1,0,0
2035,2104,1,0,0
2035,5565,1,0,0
2035,8531,1,0,0
2035,10672,1,0,0
2035,5503,1,0,0
2035,1770,1,0,0
2035,6427,1,0,0
2035,10671,1,0,0
2035,11156,1,0,0
2035,7023,1,0,0
2035,775,1,0,0
2035,11153,1,0,0
2035,83,1,0,0
2035,1788,1,0,0
2035,11152,1,0,0
2035,6381,1,0,0
2035,5821,1,0,0
2035,3331,1,0,0
2035,5238,1,0,0
2035,9061,1,0,0
2035,10701,1,0,0
2035,3750,1,0,0
2035,5494,1,0,0
2035,10725,1,0,0
2035,7313,1,0,0
2035,4182,1,0,0
2035,1435,1,0,0
2035,1747,1,0,0
2035,145,1,0,0
2035,9069,1,0,0
2035,584,1,0,0
2035,1303,1,0,0
2035,3029,1,0,0
2035,1095,1,0,0
2035,4183,1,0,0
2035,2099,1,0,0
2035,8813,1,0,0
2035,2457,1,0,0
2035,3270,1,0,0
2035,2801,1,0,0
2035,1819,1,0,0
2035,2931,1,0,0
2035,8141,1,0,0
2035,10677,1,0,0
2035,2049,1,0,0
2035,2930,1,0,0
2035,8267,1,0,0
2035,9068,1,0,0
2035,904,1,0,0
2035,147,1,0,0
2035,74,1,0,0
2035,494,1,0,0
2035,1618,1,0,0
2035,10498,1,0,0
2035,3419,1,0,0
2035,651,1,0,0
2035,6726,1,0,0
2035,1627,1,0,0
2035,3640,1,0,0
2035,7480,1,0,0
2035,430,1,0,0
2035,720,1,0,0
2035,1111,1,0,0
2035,3450,1,0,0
2035,535,1,0,0
2035,5341,1,0,0
2035,4972,1,0,0
2035,1365,1,0,0
2035,1985,1,0,0
2035,1617,1,0,0
2035,8254,1,0,0
2035,8470,1,0,0
2035,8000,1,0,0
2035,10703,1,0,0
2035,10702,1,0,0
2035,10704,1,0,0
2035,8469,1,0,0
2035,3396,1,0,0
2035,3395,1,0,0
2035,767,1,0,0
2035,214,1,0,0
2035,6717,1,0,0
2035,3080,1,0,0
2035,3088,1,0,0
2035,8989,1,0,0
2035,5030,1,0,0
2035,8352,1,0,0
2035,2024,1,0,0
2035,6867,1,0,0
2035,5580,1,0,0
2035,2948,1,0,0
2035,8945,1,0,0
2035,1187,1,0,0
2035,4120,1,0,0
2035,6613,1,0,0
2035,7102,1,0,0
2035,7920,1,0,0
2035,713,1,0,0
2035,2571,1,0,0
2035,6801,1,0,0
2035,6104,1,0,0
2035,913,1,0,0
2035,6811,1,0,0
2035,5950,1,0,0
2035,5248,1,0,0
2035,8975,1,0,0
2035,2854,1,0,0
2035,1951,1,0,0
2035,1184,1,0,0
2035,7154,1,0,0
2035,7432,1,0,0
2035,1674,1,0,0
2035,2635,1,0,0
2035,3050,1,0,0
2035,3503,1,0,0
2035,2304,1,0,0
2035,3719,1,0,0
2035,1945,1,0,0
2035,2939,1,0,0
2035,7687,1,0,0
2035,781,1,0,0
2035,1791,1,0,0
