mgra,taz,msa
1111,2013,0
1112,1005,0
1113,3651,3
1114,30,4
1115,825,1
1116,3751,3
1117,3751,3
1118,3058,0
1119,3338,2
1120,2313,0
1121,2628,0
1122,2375,1
1123,1018,0
1124,3755,3
1125,4052,3
1126,3437,2
1127,2589,0
1128,4690,3
1129,2769,2
1130,3406,2
1131,1308,1
1132,1310,1
1133,3954,1
1134,2250,0
1135,2395,0
1136,1486,0
1137,2300,2
1138,818,0
1139,1131,1
1140,983,1
1141,3535,3
1142,388,4
1143,654,1
1144,25,4
1145,661,1
1146,2652,0
1147,1526,0
1148,2614,0
1149,2476,0
1150,3523,0
1151,4098,3
1152,2589,0
1153,2130,0
1154,253,4
1155,2036,0
1156,1703,0
1157,3575,3
1158,3523,0
1159,2370,1
1160,3307,0
1161,4235,3
1162,4211,3
1163,1555,0
1164,1634,0
1165,4071,2
1166,2637,0
1167,2559,0
1168,4274,3
1169,2573,1
1170,32,4
1171,3465,3
1172,2312,0
1173,3272,0
1174,3674,2
1175,3465,0
1176,2581,2
1177,2145,0
1178,2076,0
1179,3893,1
1180,1159,0
1181,1419,0
1182,3522,2
1183,2339,0
1184,2207,0
1185,1961,0
1186,2480,0
1187,2214,0
1188,3243,0
1189,371,4
1190,2288,0
1191,14,4
1192,4260,2
1193,347,1
1194,3349,0
1195,1784,1
1196,1747,0
1197,4272,3
1198,2501,0
1199,2688,1
1200,570,1
1201,1816,0
1202,1863,0
1203,4260,2
1204,3892,0
1205,4166,3
1206,1332,1
1207,4511,3
1208,2555,1
1209,2535,0
1210,2243,0
1211,766,0
1212,1667,0
1213,2010,0
1214,2769,2
1215,1863,0
1216,1136,0
1217,54,4
1218,1086,1
1219,2479,0
1220,3810,1
1221,4014,3
1222,1527,0
1223,866,1
1224,4675,3
1225,664,1
1226,4279,3
1227,3062,0
1228,949,0
1229,1032,1
1230,2665,0
1231,1582,0
1232,3890,3
1233,2355,0
1234,4459,3
1235,2391,0
1236,2313,0
1237,1856,0
1238,2154,0
1239,3855,1
1240,2562,0
1241,812,1
1242,3416,0
1243,3522,2
1244,88,4
1245,3520,0
1246,3089,2
1247,1853,0
1248,271,4
1249,2300,2
1250,388,4
1251,4694,3
1252,1627,1
1253,1922,0
1254,1486,0
1255,1487,0
1256,1709,1
1257,812,1
1258,586,1
1259,4021,3
1260,582,1
1261,33,4
1262,4690,3
1263,3002,0
1264,4592,3
1265,737,0
1266,956,0
1267,4686,3
1268,4702,3
1269,1682,0
1270,4052,3
1271,253,4
1272,1830,0
1273,3441,1
1274,3708,3
1275,2686,0
1276,48,4
1277,4292,3
1278,2607,0
1279,2530,1
1280,729,1
1281,2682,2
1282,4425,3
1283,3090,1
1284,3954,1
1285,2612,0
1286,2878,0
1287,643,0
1288,1528,0
1289,2345,0
1290,3999,3
1291,2265,0
1292,2286,0
1293,1932,0
1294,963,0
1295,606,1
1296,4110,3
1297,1586,0
1298,646,0
1299,1440,1
1300,423,1
1301,2589,0
1302,588,0
1303,2042,0
1304,1724,0
1305,1838,0
1306,1608,0
1307,2069,0
1308,280,4
1309,912,1
1310,1240,1
1311,1453,0
1312,617,1
1313,777,0
1314,2396,1
1315,343,1
1316,889,1
1317,1487,0
1318,2375,1
1319,2213,0
1320,4160,3
1321,1629,0
1322,4021,3
1323,2903,0
1324,54,4
1325,2061,1
1326,1166,1
1327,1676,0
1328,1658,0
1329,720,0
1330,1540,1
1331,371,4
1332,1749,0
1333,584,0
1334,613,0
1335,2009,0
1336,2700,0
1337,2637,0
1338,3460,1
1339,3923,3
1340,3722,1
1341,4264,3
1342,1925,0
1343,2292,0
1344,2776,0
1345,783,0
1346,2903,0
1347,32,4
1348,2841,0
1349,2109,0
1350,49,4
1351,576,1
1352,2590,0
1353,4429,3
1354,3893,1
1355,2202,0
1356,1052,0
1357,1757,0
1358,1308,1
1359,1300,1
1360,1355,1
1361,3901,0
1362,2288,0
1363,3057,2
1364,2066,0
1365,2013,0
1366,1618,0
1367,1965,0
1368,755,1
1369,2008,0
1370,611,1
1371,3058,0
1372,3029,0
1373,661,1
1374,4652,3
1375,2897,0
1376,4178,2
1377,2210,0
1378,2250,0
1379,956,0
1380,17,4
1381,3350,0
1382,780,0
1383,2191,1
1384,517,1
1385,253,4
1386,2286,0
1387,843,1
1388,48,4
1389,989,0
1390,1571,0
1391,1571,0
1392,4286,3
1393,40,4
1394,2408,2
1395,2616,0
1396,2733,0
1397,2089,1
1398,1076,0
1399,40,4
1400,3346,2
1401,2391,0
1402,2394,0
1403,3709,3
1404,3652,3
1405,3655,3
1406,2326,0
1407,1018,0
1408,989,0
1409,4511,3
1410,780,0
1411,38,4
1412,608,1
1413,730,0
1414,2352,0
1415,1834,0
1416,2842,1
1417,895,0
1418,2535,0
1419,392,1
1420,2652,0
1421,4052,3
1422,811,1
1423,70,4
1424,623,1
1425,310,4
1426,1681,0
1427,912,1
1428,889,1
1429,926,1
1430,1637,0
1431,4661,3
1432,2628,0
1433,1863,0
1434,1856,0
1435,2000,0
1436,1667,0
1437,1837,0
1438,2581,2
1439,2300,2
1440,1349,1
1441,2635,0
1442,14,4
1443,4695,3
1444,2053,0
1445,1578,0
1446,1549,1
1447,793,0
1448,3973,3
1449,1689,0
1450,48,4
1451,4292,3
1452,2589,0
1453,1637,0
1454,4023,3
1455,2151,0
1456,2470,2
1457,1571,0
1458,1547,1
1459,989,0
1460,2129,0
1461,3382,0
1462,2416,0
1463,2305,0
1464,2565,0
1465,3180,0
1466,2263,0
1467,1856,0
1468,989,0
1469,45,4
1470,926,1
1471,3810,1
1472,4293,3
1473,4623,3
1474,2700,0
1475,3360,0
1476,1359,1
1477,1791,0
1478,4702,3
1479,2979,0
1480,1797,0
1481,541,1
1482,4327,2
1483,2344,0
1484,2282,0
1485,1683,0
1486,4437,2
1487,400,1
1488,281,4
1489,4163,3
1490,2676,0
1491,3603,3
1492,2054,0
1493,2577,0
1494,3619,0
1495,3537,0
1496,2953,2
1497,3072,0
1498,2480,0
1499,670,0
1500,2356,1
1501,2569,2
1502,583,0
1503,2293,0
1504,1808,0
1505,4175,2
1506,2908,2
1507,3973,3
1508,1872,0
1509,1966,0
1510,2058,0
1511,1574,0
1512,2282,0
1513,3481,2
1514,2642,0
1515,879,0
1516,2416,0
1517,1027,0
1518,2300,2
1519,2410,0
1520,526,1
1521,911,0
1522,2229,1
1523,388,4
1524,3411,1
1525,2265,0
1526,728,0
1527,2738,0
1528,546,1
1529,2765,0
1530,2942,2
1531,2628,0
1532,4160,3
1533,3758,3
1534,654,1
1535,2383,1
1536,3520,0
1537,633,0
1538,3920,1
1539,2603,0
1540,1834,0
1541,2349,0
1542,2069,0
1543,2022,0
1544,2628,0
1545,3568,2
1546,3828,5
1547,2607,0
1548,52,4
1549,685,0
1550,482,1
1551,3848,0
1552,2326,0
1553,80,4
1554,4141,3
1555,807,0
1556,4306,3
1557,3434,0
1558,1998,1
1559,1708,0
1560,400,1
1561,2684,0
1562,33,4
1563,4286,3
1564,1527,0
1565,1824,1
1566,889,1
1567,829,0
1568,2193,0
1569,2693,2
1570,1831,0
1571,643,0
1572,46,4
1573,828,0
1574,3702,2
1575,3676,3
1576,584,0
1577,1799,0
1578,2391,0
1579,2312,0
1580,2990,0
1581,2201,0
1582,2251,0
1583,3188,1
1584,623,1
1585,2144,0
1586,4339,3
1587,4266,3
1588,4211,3
1589,4433,3
1590,1427,4
1591,676,0
1592,652,0
1593,1052,0
1594,1179,0
1595,866,1
1596,2470,2
1597,3132,0
1598,4698,3
1599,3168,0
1600,2375,1
1601,3616,3
1602,883,1
1603,2590,0
1604,2247,0
1605,2513,0
1606,1754,0
1607,1834,0
1608,3313,0
1609,2562,0
1610,2205,0
1611,3911,1
1612,2285,0
1613,1486,0
1614,1517,0
1615,650,0
1616,1453,0
1617,2105,0
1618,2110,0
1619,4641,3
1620,677,1
1621,4065,3
1622,3550,2
1623,2699,0
1624,3819,2
1625,1746,0
1626,2559,0
1627,2110,0
1628,4227,3
1629,4675,3
1630,1382,1
1631,830,1
1632,1877,0
1633,2398,1
1634,2312,0
1635,857,1
1636,829,0
1637,2642,0
1638,4065,3
1639,912,1
1640,1282,1
1641,2731,0
1642,2213,0
1643,3029,0
1644,2942,2
1645,3230,0
1646,3754,3
1647,2581,2
1648,2201,0
1649,1607,0
1650,2570,0
1651,823,1
1652,59,4
1653,623,1
1654,2608,0
1655,588,0
1656,991,0
1657,2487,1
1658,3474,0
1659,2642,0
1660,1361,1
1661,2638,2
1662,1571,0
1663,1555,0
1664,590,0
1665,2346,0
1666,1637,0
1667,1447,1
1668,2841,0
1669,1536,0
1670,4016,3
1671,2251,0
1672,1453,0
1673,1505,0
1674,2206,0
1675,4690,3
1676,59,4
1677,3696,0
1678,1082,1
1679,518,1
1680,1667,0
1681,1757,0
1682,3180,0
1683,1689,0
1684,949,0
1685,893,0
1686,3110,1
1687,2897,0
1688,1411,1
1689,2637,0
1690,2207,0
1691,755,1
1692,2352,0
1693,3855,1
1694,949,0
1695,4298,3
1696,2243,0
1697,2649,0
1698,25,4
1699,2990,0
1700,3610,0
1701,1018,0
1702,3576,2
1703,961,0
1704,2021,0
1705,3920,1
1706,3018,0
1707,3883,3
1708,2150,0
1709,2308,0
1710,1968,0
1711,2001,0
1712,2511,0
1713,2391,0
1714,1551,0
1715,875,0
1716,1562,0
1717,1758,0
1718,4035,3
1719,3543,2
1720,4336,3
1721,2287,0
1722,4065,3
1723,941,1
1724,825,1
1725,1506,0
1726,1629,0
1727,729,1
1728,2113,0
1729,1775,0
1730,388,4
1731,2256,0
1732,4265,3
1733,482,1
1734,925,0
1735,871,0
1736,3638,3
1737,4080,3
1738,2305,0
1739,1689,0
1740,893,0
1741,823,1
1742,1179,0
1743,747,0
1744,2689,0
