year,mgra_13,mgra_15,MoHub_carshare_flag,univ_flag,MLB_flag
2035,653,5679,1,0,0
2035,654,925,1,0,0
2035,655,983,1,0,0
2035,656,6548,1,0,0
2035,657,212,1,0,0
2035,658,2557,1,0,0
2035,659,323,1,0,0
2035,660,3308,1,0,0
2035,661,3185,1,0,0
2035,662,3131,1,0,0
2035,663,1036,1,0,0
2035,664,5946,1,0,0
2035,665,278,1,0,0
2035,666,606,1,0,0
2035,667,1209,1,0,0
2035,668,6433,1,0,0
2035,669,2138,1,0,0
2035,670,1755,1,0,0
2035,671,1418,1,0,0
2035,672,1418,1,0,0
2035,673,3441,1,0,0
2035,674,426,1,0,0
2035,675,1970,1,0,0
2035,676,2722,1,0,0
2035,677,2160,1,0,0
2035,678,2562,1,0,0
2035,679,10375,1,0,0
2035,680,277,1,0,0
2035,681,4049,1,0,0
2035,682,753,1,0,0
2035,683,1275,1,0,0
2035,684,2068,1,0,0
2035,685,11354,1,0,0
2035,686,6297,1,0,0
2035,687,8463,1,0,0
2035,688,4051,1,0,0
2035,689,112,1,0,0
2035,690,4050,1,0,0
2035,691,4052,1,0,0
2035,692,1697,1,0,0
2035,693,2704,1,0,0
2035,694,1919,1,0,0
2035,695,6868,1,0,0
2035,696,561,1,0,0
2035,697,10376,1,0,0
2035,698,2014,1,0,0
2035,699,7834,1,0,0
2035,700,454,1,0,0
2035,701,664,1,0,0
2035,702,10377,1,0,0
2035,703,4053,1,0,0
2035,704,2014,1,0,0
2035,705,1286,1,0,0
2035,706,402,1,0,0
2035,707,3898,1,0,0
2035,708,3896,1,0,0
2035,709,3902,1,0,0
2035,710,2450,1,0,0
2035,711,6742,1,0,0
2035,712,618,1,0,0
2035,713,9028,1,0,0
2035,714,4046,1,0,0
2035,715,5970,1,0,0
2035,716,8651,1,0,0
2035,717,4047,1,0,0
2035,718,3547,1,0,0
2035,719,4048,1,0,0
2035,720,10129,1,0,0
2035,721,814,1,0,0
2035,722,3905,1,0,0
2035,723,3906,1,0,0
2035,724,1344,1,0,0
2035,725,3907,1,0,0
2035,726,3904,1,0,0
2035,727,10128,1,0,0
2035,728,8160,1,0,0
2035,729,3909,1,0,0
2035,730,6485,1,0,0
2035,731,8603,1,0,0
2035,732,511,1,0,0
2035,733,4348,1,0,0
2035,734,5544,1,0,0
2035,735,620,1,0,0
2035,736,5594,1,0,0
2035,737,6616,1,0,0
2035,738,3434,1,0,0
2035,739,11357,1,0,0
2035,740,6881,1,0,0
2035,741,3398,1,0,0
2035,742,420,1,0,0
2035,743,5887,1,0,0
2035,744,948,1,0,0
2035,745,10379,1,0,0
2035,746,10378,1,0,0
2035,747,4080,1,0,0
2035,748,7303,1,0,0
2035,749,6055,1,0,0
2035,750,5600,1,0,0
2035,751,8340,1,0,0
2035,752,257,1,0,0
2035,753,6217,1,0,0
2035,754,2482,1,0,0
2035,755,8717,1,0,0
2035,756,31,1,0,0
2035,757,6462,1,0,0
2035,758,6809,1,0,0
2035,759,10695,1,0,0
2035,760,10697,1,0,0
2035,761,3599,1,0,0
2035,762,5389,1,0,0
2035,763,4345,1,0,0
2035,764,111,1,0,0
2035,765,1863,1,0,0
2035,766,1918,1,0,0
2035,767,1337,1,0,0
2035,768,5915,1,0,0
2035,769,3013,1,0,0
2035,770,10380,1,0,0
2035,771,5997,1,0,0
2035,772,7653,1,0,0
2035,773,2308,1,0,0
2035,774,8279,1,0,0
2035,775,1166,1,0,0
2035,776,1754,1,0,0
2035,777,1689,1,0,0
2035,778,864,1,0,0
2035,779,4054,1,0,0
2035,780,11023,1,0,0
2035,781,1395,1,0,0
