year,mgra_13,MoHub_carshare_flag,univ_flag,MLB_flag
2035,499,1,0,0
2035,500,1,0,0
2035,501,1,0,0
2035,502,1,0,0
2035,503,1,0,0
2035,504,1,0,0
2035,505,1,0,0
2035,506,1,0,0
2035,507,1,0,0
2035,508,1,0,0
2035,509,1,0,0
2035,510,1,0,0
2035,511,1,0,0
2035,512,1,0,0
2035,513,1,0,0
2035,514,1,0,0
2035,515,1,0,0
2035,516,1,0,0
2035,517,1,0,0
2035,518,1,0,0
2035,519,1,0,0
2035,520,1,0,0
2035,521,1,0,0
2035,522,1,0,0
2035,523,1,0,0
2035,524,1,0,0
2035,525,1,0,0
2035,526,1,0,0
2035,527,1,0,0
2035,528,1,0,0
2035,529,1,0,0
2035,530,1,0,0
2035,531,1,0,0
2035,532,1,0,0
2035,533,1,0,0
2035,534,1,0,0
2035,535,1,0,0
2035,536,1,0,0
2035,537,1,0,0
2035,538,1,0,0
2035,539,1,0,0
2035,540,1,0,0
2035,541,1,0,0
2035,542,1,0,0
2035,543,1,0,0
2035,544,1,0,0
2035,545,1,0,0
2035,546,1,0,0
2035,547,1,0,0
2035,548,1,0,0
2035,549,1,0,0
2035,550,1,0,0
2035,551,1,0,0
2035,552,1,0,0
2035,553,1,0,0
2035,554,1,0,0
2035,555,1,0,0
2035,556,1,0,0
2035,557,1,0,0
2035,558,1,0,0
2035,559,1,0,0
2035,560,1,0,0
2035,561,1,0,0
2035,562,1,0,0
2035,563,1,0,0
2035,564,1,0,0
2035,565,1,0,0
2035,566,1,0,0
2035,567,1,0,0
2035,568,1,0,0
2035,569,1,0,0
2035,570,1,0,0
2035,571,1,0,0
2035,572,1,0,0
2035,573,1,0,0
2035,574,1,0,0
2035,575,1,0,0
2035,576,1,0,0
2035,577,1,0,0
2035,578,1,0,0
2035,579,1,0,0
2035,580,1,0,0
2035,581,1,0,0
2035,582,1,0,0
2035,583,1,0,0
2035,584,1,0,0
2035,585,1,0,0
2035,586,1,0,0
2035,587,1,0,0
2035,588,1,0,0
2035,589,1,0,0
2035,590,1,0,0
2035,591,1,0,0
2035,592,1,0,0
2035,593,1,0,0
2035,594,1,0,0
2035,595,1,0,0
2035,596,1,0,0
2035,597,1,0,0
2035,598,1,0,0
2035,599,1,0,0
2035,600,1,0,0
2035,601,1,0,0
2035,602,1,0,0
2035,603,1,0,0
2035,604,1,0,0
2035,605,1,0,0
2035,606,1,0,0
2035,607,1,0,0
2035,608,1,0,0
2035,609,1,0,0
2035,610,1,0,0
2035,611,1,0,0
2035,612,1,0,0
2035,613,1,0,0
2035,614,1,0,0
2035,615,1,0,0
2035,616,1,0,0
2035,617,1,0,0
2035,618,1,0,0
2035,619,1,0,0
2035,620,1,0,0
2035,621,1,0,0
2035,622,1,0,0
2035,623,1,0,0
2035,624,1,0,0
2035,625,1,0,0
2035,626,1,0,0
2035,627,1,0,0
2035,628,1,0,0
2035,629,1,0,0
2035,630,1,0,0
2035,631,1,0,0
2035,632,1,0,0
2035,633,1,0,0
2035,634,1,0,0
2035,635,1,0,0
2035,636,1,0,0
2035,637,1,0,0
2035,638,1,0,0
2035,639,1,0,0
2035,640,1,0,0
2035,641,1,0,0
2035,642,1,0,0
2035,643,1,0,0
2035,644,1,0,0
2035,645,1,0,0
2035,646,1,0,0
2035,647,1,0,0
2035,648,1,0,0
2035,649,1,0,0
2035,650,1,0,0
2035,651,1,0,0
2035,652,1,0,0
2035,653,1,0,0
2035,654,1,0,0
2035,655,1,0,0
2035,656,1,0,0
2035,657,1,0,0
2035,658,1,0,0
2035,659,1,0,0
2035,660,1,0,0
2035,661,1,0,0
2035,662,1,0,0
2035,663,1,0,0
2035,664,1,0,0
2035,665,1,0,0
2035,666,1,0,0
2035,667,1,0,0
2035,668,1,0,0
2035,669,1,0,0
2035,670,1,0,0
2035,671,1,0,0
2035,672,1,0,0
2035,673,1,0,0
2035,674,1,0,0
2035,675,1,0,0
2035,676,1,0,0
2035,677,1,0,0
2035,678,1,0,0
