Zip_Code,Lat_ft,Long_ft
92305,2368770,6373170
92307,2523800,6296680
92308,2463310,6288300
92309,2804090,6616350
92310,2804500,6446490
92311,2627310,6330740
92313,2320560,6239440
92314,2407940,6361390
92315,2398530,6360640
92316,2330950,6215360
92317,2398630,6269870
92318,2326700,6263680
92320,2303390,6319230
92321,2397890,6283130
92322,2393980,6235890
92324,2322240,6245170
92325,2398800,6246550
92327,2617420,6383270
92328,3190410,6302240
92332,2529180,6868640
92333,2407370,6351830
92335,2341310,6193370
92336,2359740,6194660
92337,2327570,6191680
92338,2633670,6531430
92339,2340670,6382740
92341,2395070,6311860
92342,2591510,6229710
92344,2451940,6213200
92345,2449420,6242360
92346,2351990,6280660
92347,2690440,6246180
92350,2327520,6254590
92352,2405820,6275910
92354,2327000,6258290
92356,2499930,6372970
92358,2408240,6173130
92359,2350310,6309680
92363,2530580,7038790
92364,2788990,6807140
92365,2619040,6433590
92368,2551670,6247780
92371,2475880,6172430
92372,2470860,6144920
92373,2309840,6287600
92374,2333690,6282440
92376,2349690,6219510
92377,2365860,6212090
92378,2393040,6266540
92382,2380720,6296180
92384,3090220,6493310
92385,2384710,6297420
92386,2396570,6386310
92389,2990000,6634000
92391,2395630,6263820
92392,2484070,6212710
92394,2514630,6234530
92395,2492130,6246960
92397,2437130,6157530
92398,2639220,6383430
92399,2322300,6332150
92401,2347470,6246350
92404,2373500,6251860
92405,2362150,6243180
92407,2402740,6241830
92408,2339740,6254710
92410,2347810,6244760
92411,2353700,6236620
92415,2347450,6247500
92501,2307690,6221150
92503,2269450,6198480
92504,2275510,6213060
92505,2285700,6183980
92506,2285160,6224100
92507,2300060,6235900
92508,2270220,6235610
92509,2310840,6199230
92518,2267200,6251130
92521,2297650,6232780
92530,2166440,6212730
92532,2198150,6239520
92536,2119700,6391750
92539,2145690,6425480
92543,2199890,6339880
92544,2177850,6364200
92545,2210660,6321330
92548,2221460,6300130
92549,2229190,6401510
92551,2265640,6265400
92553,2280950,6259720
92555,2273870,6301480
92557,2298670,6255810
92561,2157510,6491720
92562,2144470,6251450
92563,2156450,6288710
92567,2239670,6302540
92570,2230700,6236220
92571,2247520,6276380
92582,2238560,6328720
92583,2232550,6358050
92584,2185160,6280270
92585,2214990,6281980
92586,2202010,6272780
92587,2198430,6257880
92590,2120110,6266430
92591,2138420,6299220
92592,2128740,6328900
92595,2170100,6254090
92596,2177700,6311340
92602,2216770,6109060
92603,2174890,6092600
92604,2197450,6093660
92606,2201020,6086360
92610,2203580,6131210
92612,2187540,6082080
92614,2195400,6080190
92617,2180910,6077010
92618,2193730,6112500
92620,2204860,6103570
92624,2113360,6130060
92625,2166320,6069740
92626,2194750,6057110
92627,2183550,6053350
92629,2120550,6117960
92630,2181770,6124770
92637,2168350,6111370
92646,2189910,6038900
92647,2211430,6027560
92648,2196420,6025480
92649,2210760,6015900
92651,2150350,6097760
92653,2162020,6120550
92655,2219100,6034260
92656,2156060,6110250
92657,2162160,6080860
92660,2177840,6067190
92661,2166510,6058800
92662,2168260,6061460
92663,2175080,6049590
92672,2090210,6163720
92673,2116020,6146430
92675,2151930,6167400
92676,2217440,6148970
92677,2138740,6118470
92679,2183100,6161930
92683,2221860,6031600
92688,2175470,6147380
92691,2168710,6130510
92692,2168250,6137470
92694,2145940,6138400
92697,2182750,6077380
92701,2219680,6072700
92703,2220010,6058410
92704,2209910,6057420
92705,2222620,6086280
92706,2226170,6065840
92707,2205520,6068830
92708,2206320,6044260
92780,2214930,6084610
92782,2211690,6090470
92801,2255270,6044980
92802,2241740,6053320
92804,2245850,6037850
92805,2249530,6058870
92806,2252440,6069690
92807,2256360,6094320
92808,2245100,6121110
92821,2285010,6065790
92823,2285290,6089430
92831,2267540,6061970
92832,2263720,6051950
92833,2268090,6042340
92835,2275890,6056340
92840,2233710,6050650
92841,2234400,6035510
92843,2225710,6050710
92844,2226480,6039080
92845,2233150,6021890
92860,2282540,6166600
92861,2244570,6087800
92865,2248990,6076240
92866,2232830,6077160
92867,2243970,6083660
92868,2234110,6067510
92869,2238560,6098760
92870,2267900,6074440
92879,2266260,6170670
92880,2282570,6149440
92881,2251800,6183190
92882,2253030,6149620
92883,2224090,6184010
92886,2273350,6092840
92887,2268520,6111890
93001,2447710,5633250
93003,2421950,5664670
93004,2421990,5681010
93010,2402610,5707570
93012,2393410,5732500
93013,2473850,5576870
93015,2466330,5770300
93021,2430000,5771950
93022,2467940,5642130
93023,2509490,5651340
93030,2395400,5675810
93033,2375320,5692510
93035,2387710,5662180
93036,2406370,5678060
93040,2487790,5802340
93041,2374700,5678860
93042,2359340,5695200
93043,2379250,5667340
93060,2457530,5700430
93063,2421010,5824850
93065,2419990,5800490
93066,2427050,5721340
93067,2476500,5552470
93101,2477490,5518910
93103,2482930,5526110
93105,2534040,5502820
93106,2477440,5476240
93108,2488410,5568600
93109,2472870,5513060
93110,2483760,5500630
93111,2490130,5490510
93117,2508230,5417690
93202,3165360,5541660
93203,2723560,5789730
93204,3021780,5425980
93205,2888740,5894720
93206,2840180,5598450
93207,2999120,5777790
