Zip Code,Lat,Long,Lat Feet,Long Feet
92276,33.8244,-116.38,2243630,6522260
92277,34.2065,-115.781,2383000,6703480
92278,34.4693,-116.142,2478320,6594400
92280,34.2014,-114.791,2383920,7002910
92281,33.0814,-115.675,1973720,6737820
92282,33.9615,-116.662,2293740,6436620
92283,33.0782,-114.985,1974340,6949390
92284,34.1729,-116.47,2370490,6495270
92285,34.4356,-116.552,2466150,6470680
92301,34.6692,-117.532,2553430,6176180
92304,34.7082,-115.835,2565500,6686560
92305,34.1668,-116.873,2368770,6373170
92307,34.5912,-117.13,2523800,6296680
92308,34.4248,-117.156,2463310,6288300
92309,35.3645,-116.068,2804090,6616350
92310,35.3647,-116.636,2804500,6446490
92311,34.8763,-117.02,2627310,6330740
92313,34.0314,-117.313,2320560,6239440
92314,34.2742,-116.913,2407940,6361390
92315,34.2483,-116.915,2398530,6360640
92316,34.0592,-117.393,2330950,6215360
92317,34.2467,-117.215,2398630,6269870
92318,34.0489,-117.234,2326700,6263680
92320,33.9861,-117.05,2303390,6319230
92321,34.245,-117.172,2397890,6283130
92322,34.233,-117.328,2393980,6235890
92324,34.0361,-117.295,2322240,6245170
92325,34.2465,-117.293,2398800,6246550
92327,34.85,-116.844,2617420,6383270
92328,36.4221,-117.131,3190410,6302240
92332,34.6053,-115.23,2529180,6868640
92333,34.2725,-116.944,2407370,6351830
92335,34.087,-117.466,2341310,6193370
92336,34.1377,-117.463,2359740,6194660
92337,34.0492,-117.471,2327570,6191680
92338,34.8962,-116.351,2633670,6531430
92339,34.0897,-116.841,2340670,6382740
92341,34.2379,-117.076,2395070,6311860
92342,34.7754,-117.355,2591510,6229710
92344,34.3915,-117.405,2451940,6213200
92345,34.3855,-117.308,2449420,6242360
92346,34.1188,-117.178,2351990,6280660
92347,35.0476,-117.304,2690440,6246180
92350,34.0509,-117.264,2327520,6254590
92352,34.2666,-117.196,2405820,6275910
92354,34.0496,-117.251,2327000,6258290
92356,34.5272,-116.876,2499930,6372970
92358,34.2702,-117.536,2408240,6173130
92359,34.1149,-117.082,2350310,6309680
92363,34.6034,-114.665,2530580,7038790
92364,35.3199,-115.428,2788990,6807140
92365,34.8553,-116.677,2619040,6433590
92368,34.6665,-117.294,2551670,6247780
92371,34.456,-117.541,2475880,6172430
92372,34.4412,-117.632,2470860,6144920
92373,34.0032,-117.154,2309840,6287600
92374,34.0686,-117.172,2333690,6282440
92376,34.1108,-117.38,2349690,6219510
92377,34.155,-117.405,2365860,6212090
92378,34.2312,-117.226,2393040,6266540
92382,34.1981,-117.128,2380720,6296180
92384,36.1493,-116.482,3090220,6493310
92385,34.2091,-117.124,2384710,6297420
92386,34.2434,-116.83,2396570,6386310
92389,35.8741,-116.006,2990000,6634000
92391,34.2383,-117.235,2395630,6263820
92392,34.4798,-117.408,2484070,6212710
92394,34.5644,-117.336,2514630,6234530
92395,34.5029,-117.294,2492130,6246960
92397,34.349,-117.589,2437130,6157530
92398,34.9099,-116.844,2639220,6383430
92399,34.0384,-117.008,2322300,6332150
92401,34.1055,-117.292,2347470,6246350
92404,34.1772,-117.274,2373500,6251860
92405,34.1457,-117.303,2362150,6243180
92407,34.2572,-117.308,2402740,6241830
92408,34.0845,-117.264,2339740,6254710
92410,34.1064,-117.297,2347810,6244760
92411,34.1223,-117.324,2353700,6236620
92415,34.1055,-117.288,2347450,6247500
92501,33.9955,-117.373,2307690,6221150
92503,33.8897,-117.447,2269450,6198480
92504,33.9068,-117.399,2275510,6213060
92505,33.9339,-117.495,2285700,6183980
92506,33.9337,-117.363,2285160,6224100
92507,33.9749,-117.324,2300060,6235900
92508,33.8929,-117.324,2270220,6235610
92509,34.0034,-117.446,2310840,6199230
92518,33.8851,-117.273,2267200,6251130
92521,33.9682,-117.335,2297650,6232780
92530,33.6071,-117.396,2166440,6212730
92532,33.695,-117.309,2198150,6239520
92536,33.4826,-116.807,2119700,6391750
92539,33.5546,-116.697,2145690,6425480
92543,33.7022,-116.979,2199890,6339880
92544,33.6421,-116.899,2177850,6364200
92545,33.7314,-117.04,2210660,6321330
92548,33.7606,-117.111,2221460,6300130
92549,33.7837,-116.777,2229190,6401510
92551,33.8812,-117.226,2265640,6265400
92553,33.9231,-117.245,2280950,6259720
92555,33.9046,-117.107,2273870,6301480
92557,33.9716,-117.259,2298670,6255810
92561,33.5876,-116.48,2157510,6491720
92562,33.5478,-117.268,2144470,6251450
92563,33.5817,-117.146,2156450,6288710
92567,33.8107,-117.103,2239670,6302540
92570,33.7844,-117.321,2230700,6236220
92571,33.8316,-117.189,2247520,6276380
92582,33.8082,-117.017,2238560,6328720
92583,33.7922,-116.92,2232550,6358050
92584,33.6604,-117.175,2185160,6280270
92585,33.7424,-117.17,2214990,6281980
92586,33.7065,-117.2,2202010,6272780
92587,33.6963,-117.249,2198430,6257880
92590,33.4813,-117.218,2120110,6266430
92591,33.5324,-117.111,2138420,6299220
92592,33.5064,-117.014,2128740,6328900
92595,33.6183,-117.26,2170100,6254090
92596,33.6406,-117.072,2177700,6311340
92602,33.7418,-117.739,2216770,6109060
92603,33.626,-117.791,2174890,6092600
92604,33.6881,-117.789,2197450,6093660
92606,33.6976,-117.813,2201020,6086360
92610,33.7064,-117.665,2203580,6131210
92612,33.6604,-117.826,2187540,6082080
92614,33.6819,-117.833,2195400,6080190
92617,33.6419,-117.842,2180910,6077010
92618,33.6786,-117.726,2193730,6112500
92620,33.7088,-117.756,2204860,6103570
92624,33.4584,-117.665,2113360,6130060
92625,33.6016,-117.866,2166320,6069740
92626,33.6791,-117.909,2194750,6057110
92627,33.6482,-117.92,2183550,6053350
92629,33.4777,-117.705,2120550,6117960
92630,33.6462,-117.686,2181770,6124770
92637,33.6088,-117.729,2168350,6111370
92646,33.665,-117.968,2189910,6038900
92647,33.7236,-118.007,2211430,6027560
92648,33.6823,-118.013,2196420,6025480
92649,33.7213,-118.045,2210760,6015900
92651,33.5588,-117.773,2150350,6097760
92653,33.5918,-117.699,2162020,6120550
92655,33.745,-117.985,2219100,6034260
92656,33.575,-117.732,2156060,6110250
92657,33.5906,-117.829,2162160,6080860
92660,33.6331,-117.875,2177840,6067190
92661,33.6016,-117.902,2166510,6058800
92662,33.6065,-117.893,2168260,6061460
92663,33.6248,-117.932,2175080,6049590
92672,33.396,-117.554,2090210,6163720
92673,33.4663,-117.612,2116020,6146430
92675,33.5658,-117.544,2151930,6167400
92676,33.7451,-117.608,2217440,6148970
92677,33.5277,-117.704,2138740,6118470
92679,33.6512,-117.564,2183100,6161930
92683,33.7525,-117.994,2221860,6031600
92688,33.6297,-117.611,2175470,6147380
92691,33.6106,-117.666,2168710,6130510
92692,33.6095,-117.643,2168250,6137470
