Van ID,Employer,Van Type,Vehicle Capacity,Industry,Industry Type,Origin,Destination,Origin Zip,Destination Zip,Daily Round Trip Mileage
2132,Nassco,2020 Nissan PATH - 7 Seats,7,Manufacturing,Non-Federal,Riverside County,Central,92571,92113,168
2133,Naval Base San Diego,2018 Ford TRANS - 10 Seats,10,Military,Military,East Suburban,Central,92065,92136,110
2147,Scripps Clinic,2020 Nissan PATH - 7 Seats,7,Health Care & Social Assistance,Non-Federal,Riverside County,North City,92592,92037,126
2148,Sharp HealthCare,2020 Chevrolet TRAV - 7 Seats,7,Health Care & Social Assistance,Non-Federal,Riverside County,North City,92592,92123,108
2151,DCMA,2018 Ford TRANS - 10 Seats,10,Government & Public Administration,Federal,Riverside County,North City,92584,92111,138
2152,Naval Medical Center,2020 Dodge DURA - 7 Seats,7,Military,Military,Riverside County,Central,92545,92134,166
2183,Camp Pendleton,2018 Ford TRANS - 8 Seats,8,Military,Military,North City,North County West,92129,92055,62
2185,General Atomics,2015 Chevrolet Express 2500 - 10 Seats,10,"Professional, Scientific, & Technical Services",Non-Federal,Riverside County,North City,92592,92064,91
2186,County of San Diego,2019 Nissan PATH - 7 Seats,7,Government & Public Administration,Non-Federal,Riverside County,North City,92592,92123,100
2191,Johnson Matthey,2020 Buick ENCL - 7 Seats,7,"Professional, Scientific, & Technical Services",Non-Federal,Riverside County,North City,92563,92128,88
2199,Johnson Matthey,2020 Buick ENCL - 7 Seats,7,"Professional, Scientific, & Technical Services",Non-Federal,South Suburban,North City,91910,92128,96
2202,SDG&E,2018 Nissan Pathfinder - 7 Seats,7,Utilities,Non-Federal,South Suburban,North City,92154,92123,47
2207,BAE Systems,2018 Volkswagen ATLAS - 7 Seats,7,Manufacturing,Non-Federal,South Suburban,Central,92173,92113,45
2212,DEA,2019 Ford EXPL - 7 Seats,7,Government & Public Administration,Federal,North City,North County East,92123,92081,71
2213,Camp Pendleton,2020 Dodge DURA - 7 Seats,7,Military,Military,Riverside County,North County West,92584,92055,64
2216,US Border Patrol,2020 Nissan PATH - 7 Seats,7,Government & Public Administration,Federal,Riverside County,South Suburban,92592,92154,146
2218,Camp Pendleton,2020 Dodge DURA - 7 Seats,7,Military,Military,Riverside County,North County West,92563,92055,102
2222,NAVY,2020 Nissan PATH - 7 Seats,7,Military,Military,Riverside County,Central,92591,92136,126
2226,Naval Base San Diego,2019 Ford TRANS - 8 Seats,8,Military,Military,Riverside County,Central,92583,92136,130
2233,Scripps Clinic,2019 Ford TRANS - 10 Seats,10,Health Care & Social Assistance,Non-Federal,Riverside County,North City,92532,92128,88
2236,MCRD,2018 Ford TRANS - 7 Seats,7,Military,Military,Riverside County,Central,92592,92140,135
2237,Naval Base San Diego,2019 Ford TRANS - 8 Seats,8,Military,Military,Riverside County,Central,92596,92136,146
2239,Navy Broadway Complex,2019 Ford TRANS - 7 Seats,7,Military,Military,Riverside County,Central,92592,92132,124
2243,Palomar Medical Center,2020 Nissan PATH - 7 Seats,7,Health Care & Social Assistance,Non-Federal,Riverside County,North County East,92586,92029,70
2245,Nassco,2018 Ford TRANS - 8 Seats,8,Manufacturing,Non-Federal,Imperial County,Central,92250,92113,310
2283,NASNI,2020 Chevrolet TRAV - 7 Seats,7,Military,Military,Riverside County,Central,92563,92135,142
2289,VA Medical Center,2020 Nissan PATH - 7 Seats,7,Health Care & Social Assistance,Federal,Riverside County,North City,92592,92161,144
2290,MCAS Miramar,2019 Ford TRANS - 10 Seats,10,Military,Military,Riverside County,North City,92592,92145,96
2296,Navy - North Island,2018 Ford TRANS - 8 Seats,8,Military,Military,Riverside County,Central,92584,92135,177
2301,MCAS Miramar,2020 Dodge DURA - 7 Seats,7,Military,Military,Riverside County,North City,92592,92145,102
2303,MCAS Miramar,2019 Kia Sorento - 7 Seats,7,Military,Military,South Suburban,North City,91913,92145,79
2309,US Border Patrol,2020 Dodge DURA - 7 Seats,7,Government & Public Administration,Federal,East Suburban,East County,92020,91962,70
2314,Naval Base San Diego,2018 Ford TRANS - 8 Seats,8,Military,Military,Riverside County,Central,92563,92136,160
2315,Kaiser Permanente,2020 Nissan PATH - 7 Seats,7,Health Care & Social Assistance,Non-Federal,Riverside County,North City,92563,92120,112
2317,US Border Patrol - Pine Valley,2019 Dodge DURA - 7 Seats,7,Government & Public Administration,Federal,South Suburban,East County,91913,91962,102
